customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8523-NFKYP,Female,0,Yes,Yes,35,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),31.75,1088.76,Yes
2543-QUKJB,Male,0,No,Yes,45,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,113.67,5136.56,No
5869-VLTKM,Male,0,Yes,No,70,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,84.81,5808.53,No
5985-MWLKK,Male,1,No,Yes,43,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,25.57,1043.66,Yes
7757-PGUHK,Male,0,No,No,63,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,79.09,5113.66,No
5844-GLPVX,Female,0,No,No,17,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),71.57,1216.75,Yes
6530-RRTAQ,Female,0,Yes,No,12,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,81.56,1053.01,Yes
5734-CTXFM,Female,0,No,No,12,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),67.94,763.43,No
6219-IHHQV,Female,0,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),98.56,2305.22,Yes
5046-OLHVS,Male,0,No,No,4,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),102.67,416.54,No
9712-XPNYN,Male,0,No,No,38,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),74.4,2793.44,Yes
9677-ZXTTR,Male,0,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,27.43,774.7,No
7188-ROUSA,Female,0,No,No,56,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),68.67,3885.87,No
6414-OOJSA,Male,0,No,No,45,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),27.59,1338.78,No
4388-DHJRY,Female,0,Yes,No,32,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),20.28,640.23,No
7448-UDITB,Female,0,No,No,9,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,61.51,600.29,No
5486-SSVOU,Male,0,No,Yes,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,115.96,6621.84,No
4362-DLEGM,Male,1,No,Yes,24,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,35.23,827.53,No
1556-BFDUE,Male,0,Yes,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),99.19,3734.67,No
8241-HZUJE,Female,0,No,Yes,15,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),19.01,295.72,No
5257-EQZAT,Male,1,No,No,59,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),27.28,1576.66,Yes
7481-UCKYI,Female,1,No,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,102.67,2765.9,No
8969-ELRHY,Male,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),56.44,2438.23,Yes
1868-LHWVW,Female,0,No,No,57,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,115.82,6485.92,Yes
4496-AMATC,Female,0,No,Yes,31,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,24.24,694.73,No
3122-LIZII,Male,0,No,No,62,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,51.83,3262.48,Yes
9204-OJQWJ,Female,0,Yes,No,44,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Electronic check,76.88,3382.56,Yes
2304-HUFYW,Female,0,Yes,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,87.28,4579.31,No
7766-VORUN,Male,0,Yes,No,60,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Electronic check,69.14,4095.96,No
2654-CNKBK,Female,0,Yes,Yes,49,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,103.14,5049.48,No
8668-OVFKV,Male,0,Yes,No,26,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),84.96,2131.54,No
3312-WAAYC,Female,0,Yes,Yes,25,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),112.68,2882.42,No
1670-QDSKW,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,96.88,259.72,Yes
7572-ROCAL,Male,0,Yes,No,38,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,115.55,4372.23,No
5027-SHSAV,Female,0,Yes,No,64,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Electronic check,92.43,5805.97,No
2856-MSBKC,Female,0,Yes,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),42.2,1565.26,No
9604-ZJBQK,Female,0,No,No,52,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),70.36,3705.2,Yes
1004-DQCZE,Female,1,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,53.04,2418.43,No
6798-QIGCZ,Female,0,Yes,No,67,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),64.87,4396.37,No
5996-WBTUS,Male,0,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,67.05,1427.49,Yes
7095-YGHZB,Female,1,No,Yes,59,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),114.05,6708.37,Yes
3005-BUOFD,Male,0,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,92.81,405.79,Yes
2047-NGZYU,Male,0,No,No,51,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),95.07,4906.34,No
1244-NSGNX,Female,1,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,109.24,7837.27,No
4817-CMVUJ,Male,0,No,No,72,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,18.88,1294.04,No
4300-WKDPD,Male,0,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,92.67,2569.17,No
6925-ZEMKG,Male,0,Yes,Yes,42,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.18,3903.56,Yes
5685-OAGXY,Male,0,Yes,No,33,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,No,Electronic check,67.27,2241.13,No
7753-OSMDA,Female,0,Yes,No,30,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),48.68,1475.46,No
1321-JGAGY,Male,0,No,No,45,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,23.15,1074.63,No
9461-YBJLT,Female,0,Yes,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,115.83,281.4,Yes
4331-TDWXX,Female,0,Yes,No,1,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,67.79,118.68,No
9062-OXZSD,Male,0,No,No,4,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,29.8,131.63,No
9134-RPXBY,Female,0,No,Yes,45,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,85.48,3863.43,No
1435-UWECX,Female,0,No,No,18,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,96.91,1807.12,No
5185-AJZYX,Female,0,No,Yes,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,110.96,4085.41,Yes
1937-UZMED,Male,0,No,No,58,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,67.16,3919.47,Yes
7064-HHKDS,Female,0,No,No,71,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),99.73,7116.22,Yes
7668-KXPZZ,Female,0,Yes,Yes,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,104.43,1852.38,Yes
7782-YSDNY,Female,0,Yes,No,67,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,39.55,2605.74,Yes
8136-TMMNQ,Male,1,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,60.42,3177.29,No
1649-TLFVI,Female,0,No,Yes,54,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.0,4259.48,No
8655-XSVQS,Male,0,No,Yes,38,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Electronic check,72.34,2663.16,No
7473-WIBIY,Male,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,No,Mailed check,118.47,4123.11,No
4361-UOVHR,Male,1,Yes,Yes,57,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),55.65,3216.12,No
9007-SYNVC,Male,0,Yes,No,14,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,105.59,1489.09,No
8855-SIQYF,Male,0,No,No,0,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,37.65,0.0,Yes
6864-XYXTY,Male,0,No,No,8,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),109.73,860.08,No
4790-QHIEW,Female,0,No,Yes,22,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),19.35,344.17,No
1752-DNMKN,Male,0,No,No,51,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),91.73,4632.77,No
5552-ISPWX,Female,0,Yes,Yes,25,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,65.16,1592.09,Yes
6510-DAPRF,Female,1,Yes,No,59,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,18.83,1192.76,No
3254-JXNRA,Male,0,Yes,No,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,108.33,1913.85,No
7429-ZLLCA,Female,0,No,No,57,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Electronic check,85.19,4896.89,No
1232-YGIBJ,Female,1,Yes,No,64,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,91.34,5874.41,Yes
5840-UIXGZ,Female,0,No,No,68,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Mailed check,79.81,5347.98,No
1905-PXBNI,Female,0,No,No,13,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),110.65,1349.06,Yes
9547-NNADT,Male,0,Yes,Yes,45,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.51,4569.4,Yes
5768-SZXYX,Female,0,Yes,No,68,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),47.9,3153.97,No
8949-LQMFE,Male,0,Yes,Yes,31,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),52.37,1628.43,No
1870-IDJJX,Female,0,No,No,50,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.85,1478.2,Yes
8519-OANFG,Female,0,Yes,No,68,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,22.83,1569.42,Yes
5071-DNEXG,Male,0,Yes,No,14,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,96.76,1356.09,Yes
2682-EKDQZ,Female,0,No,No,52,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),51.34,2696.13,No
9464-IEZSM,Female,0,No,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),72.61,5023.39,Yes
3896-RBPUE,Female,0,No,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,89.25,6055.54,No
1256-OBTNV,Male,0,No,Yes,14,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,90.38,1212.98,No
1766-LVBYZ,Female,0,No,Yes,29,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),105.47,3068.33,No
5784-YUNKD,Male,0,No,Yes,23,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,100.04,2348.21,No
3784-CGABJ,Female,1,Yes,No,34,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,87.91,3059.8,No
2070-UGVEP,Male,0,Yes,No,68,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),38.67,2519.04,No
4204-ZBJXP,Male,0,No,No,11,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,102.23,1176.6,No
5425-RWFUT,Female,0,No,Yes,45,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),29.08,1393.82,No
7989-PWBYQ,Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),41.43,2691.03,No
3590-VTEIR,Male,0,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),51.74,1775.42,No
7420-MFLXS,Male,0,No,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),75.08,3477.06,Yes
7766-GNSDW,Female,0,Yes,Yes,66,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),113.34,7454.76,No
3593-LCNZL,Male,0,Yes,No,53,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,75.99,4088.96,No
4465-MSNUW,Female,1,Yes,No,35,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,84.04,2858.13,Yes
7678-LWWFS,Female,0,No,Yes,51,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,77.32,3876.73,No
5667-YMKNF,Female,0,Yes,No,21,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,26.59,510.79,Yes
8675-NSWKQ,Female,0,Yes,Yes,37,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),48.42,1905.65,No
9724-DZWXH,Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,111.46,6748.74,No
7467-PTUQH,Female,0,Yes,Yes,64,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),41.93,2674.87,No
6166-SHCFK,Male,0,Yes,Yes,2,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),59.74,57.9,Yes
9575-YDYIR,Female,0,Yes,No,7,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,76.77,533.92,No
1033-SWGUN,Male,0,No,No,38,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,94.18,3561.63,Yes
7514-IGVBQ,Female,0,Yes,No,17,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),75.07,1257.36,No
7687-TYIKA,Male,0,Yes,No,2,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),62.87,66.54,No
7661-XXOMN,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,88.58,1535.12,Yes
6356-GMXGL,Female,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),79.62,90.97,No
2337-MLHWM,Female,1,Yes,No,25,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,69.43,1630.84,Yes
5349-AMCNI,Female,0,Yes,No,51,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,77.51,3906.54,Yes
1140-RCHLI,Female,0,No,No,11,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),59.09,676.5,Yes
3442-CWRNK,Male,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,69.76,2608.19,Yes
9897-PQOHP,Female,0,Yes,Yes,40,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,63.34,2534.66,No
2038-MBUWV,Male,1,Yes,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,118.8,6283.28,No
4417-JLORE,Male,0,Yes,Yes,12,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),23.62,237.69,Yes
4278-IDQUT,Female,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),84.51,1012.38,No
8925-KJGJH,Male,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),42.47,737.64,No
3754-ZDQBJ,Male,0,No,No,18,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,55.65,1085.93,No
5749-WFHRQ,Male,0,No,Yes,18,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),37.16,658.03,No
9002-MUSBC,Male,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),93.96,6429.08,No
5846-UOUFH,Female,0,No,Yes,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),47.01,2186.21,No
8583-MCBAP,Female,0,Yes,No,70,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.07,5899.35,No
5572-ELJYM,Female,0,Yes,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,75.42,5256.09,No
8807-YPZYD,Female,1,No,Yes,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),61.29,1553.61,No
9190-OLFYX,Male,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),52.43,939.77,Yes
6782-MDMAB,Male,0,Yes,Yes,47,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,88.65,4224.26,Yes
5987-UVSKP,Female,0,No,No,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),72.28,2043.54,No
8067-BYBHT,Female,0,Yes,No,47,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,22.76,1005.96,No
2289-NCVIC,Female,0,Yes,Yes,18,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,92.65,,No
6070-VBVNT,Male,0,Yes,Yes,46,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,94.43,4366.88,Yes
8414-MRVNO,Female,0,No,No,59,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Electronic check,60.27,3529.78,No
5558-HOPTZ,Female,1,No,No,47,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Credit card (automatic),19.98,873.11,Yes
4614-NLWZX,Female,0,No,Yes,19,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,37.28,655.93,Yes
5397-SOPRD,Male,0,Yes,Yes,18,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,75.98,1480.94,No
3775-NEACL,Male,0,Yes,No,41,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,94.38,3937.66,No
2725-RYQWQ,Male,0,No,Yes,48,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,26.6,1297.53,Yes
7575-MUJLH,Male,0,Yes,No,14,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.96,1189.07,Yes
8213-OWVJT,Male,0,Yes,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,68.63,3993.44,Yes
1623-RDHBY,Male,0,No,Yes,67,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,No,Electronic check,41.69,2875.75,No
8571-XWMFM,Male,1,No,No,26,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,67.09,1726.09,Yes
7776-EAAHJ,Male,0,Yes,No,54,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,24.42,1254.5,No
8610-XIQFL,Female,0,Yes,No,14,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),84.58,1192.16,No
9777-FOAXS,Female,0,Yes,No,51,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,30.7,1653.6,Yes
5231-SLBLB,Male,0,No,No,30,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,20.33,515.84,Yes
4795-HOVBW,Male,0,No,No,6,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,20.69,51.5,Yes
5684-JJQKM,Female,0,No,Yes,12,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,89.82,979.12,Yes
9004-IFIXF,Male,0,Yes,No,53,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),42.64,2223.6,No
7720-MAIYS,Male,0,Yes,No,12,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),71.56,892.25,Yes
2120-ZCFHC,Male,0,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22.63,374.14,No
9696-THUOS,Female,0,No,No,9,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,22.5,222.08,No
5926-KTMGK,Female,0,No,No,51,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),103.67,5323.27,No
5320-ZZXUK,Female,0,Yes,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,89.45,3180.98,No
5718-LFWYO,Female,0,No,Yes,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,29.16,1541.17,No
5405-PZUZE,Female,0,No,No,26,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,73.34,1878.31,Yes
9316-TERXR,Male,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,33.44,1129.2,Yes
3441-IMXSW,Female,0,No,No,61,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),96.68,5847.47,No
1705-TACTO,Male,0,Yes,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.5,1319.81,No
8032-AYWFS,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,113.58,6512.34,No
7514-MQLJE,Female,0,Yes,No,20,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),75.01,1579.07,No
4089-REACE,Female,0,No,Yes,15,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,57.63,785.55,Yes
2806-PXUUN,Male,0,No,No,12,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,88.27,1091.03,No
7363-XOCBI,Male,0,No,Yes,32,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),78.05,2517.44,Yes
5580-MEZGW,Male,0,Yes,No,53,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,59.33,3225.18,No
4902-GSLZQ,Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),60.42,4138.34,No
1716-GPIHS,Female,0,No,Yes,26,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),33.12,906.71,No
7417-YNGVB,Female,0,Yes,No,51,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),66.21,3329.44,No
7468-LGSJO,Female,0,No,No,64,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,33.6,2126.42,No
7560-DSKWV,Female,1,Yes,Yes,43,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,35.43,1622.69,Yes
5826-UGWVF,Male,0,Yes,Yes,29,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),33.73,950.68,No
